start_time,end_time,target_price,settled_as
2024-08-03T18:15:00+0530,2024-08-03T18:25:00+0530,62108.02,No
2024-08-03T18:20:00+0530,2024-08-03T18:30:00+0530,61990.0,Yes
2024-08-03T19:25:00+0530,2024-08-03T19:35:00+0530,61959.88,Yes
2024-08-03T19:30:00+0530,2024-08-03T19:40:00+0530,62007.99,No
2024-08-03T19:35:00+0530,2024-08-03T19:45:00+0530,62070.0,No
2024-08-03T19:40:00+0530,2024-08-03T19:50:00+0530,61927.41,Yes
2024-08-03T19:45:00+0530,2024-08-03T19:55:00+0530,61951.99,Yes
2024-08-03T19:50:00+0530,2024-08-03T20:00:00+0530,61994.0,Yes
2024-08-03T19:55:00+0530,2024-08-03T20:05:00+0530,62006.03,Yes
2024-08-03T20:00:00+0530,2024-08-03T20:10:00+0530,62045.93,Yes
2024-08-03T20:05:00+0530,2024-08-03T20:15:00+0530,62106.01,Yes
2024-08-03T20:15:00+0530,2024-08-03T20:25:00+0530,62135.98,No
2024-08-03T20:25:00+0530,2024-08-03T20:35:00+0530,62038.47,No
2024-08-03T20:30:00+0530,2024-08-03T20:40:00+0530,61990.0,Yes
2024-08-03T20:35:00+0530,2024-08-03T20:45:00+0530,62035.46,No
2024-08-03T20:40:00+0530,2024-08-03T20:50:00+0530,62043.99,No
2024-08-03T20:45:00+0530,2024-08-03T20:55:00+0530,61986.0,No
2024-08-03T20:50:00+0530,2024-08-03T21:00:00+0530,61792.02,No
2024-08-03T20:55:00+0530,2024-08-03T21:05:00+0530,61724.01,No
2024-08-03T21:00:00+0530,2024-08-03T21:10:00+0530,61567.6,No
2024-08-03T21:05:00+0530,2024-08-03T21:15:00+0530,61374.26,Yes
2024-08-03T21:10:00+0530,2024-08-03T21:20:00+0530,61288.0,No
2024-08-03T21:15:00+0530,2024-08-03T21:25:00+0530,61404.0,No
2024-08-03T21:20:00+0530,2024-08-03T21:30:00+0530,61194.0,No
2024-08-03T21:25:00+0530,2024-08-03T21:35:00+0530,61128.0,No
2024-08-03T21:30:00+0530,2024-08-03T21:40:00+0530,60879.01,Yes
2024-08-03T21:35:00+0530,2024-08-03T21:45:00+0530,60824.01,Yes
2024-08-03T21:40:00+0530,2024-08-03T21:50:00+0530,60904.55,No
2024-08-03T21:45:00+0530,2024-08-03T21:55:00+0530,60853.99,No
2024-08-03T21:50:00+0530,2024-08-03T22:00:00+0530,60678.01,Yes
2024-08-03T21:55:00+0530,2024-08-03T22:05:00+0530,60600.01,Yes
2024-08-03T22:00:00+0530,2024-08-03T22:10:00+0530,61027.78,No
2024-08-03T22:05:00+0530,2024-08-03T22:15:00+0530,61190.01,No
2024-08-03T22:10:00+0530,2024-08-03T22:20:00+0530,60703.99,No
2024-08-03T22:15:00+0530,2024-08-03T22:25:00+0530,60573.06,Yes
2024-08-03T22:20:00+0530,2024-08-03T22:30:00+0530,60652.02,Yes
2024-08-03T22:25:00+0530,2024-08-03T22:35:00+0530,60836.01,Yes
2024-08-03T22:30:00+0530,2024-08-03T22:40:00+0530,60912.01,No
