start_time,end_time,target_views,settled_as,video_name
2024-07-12T01:45:00+0530,2024-07-12T02:05:00+0530,45.81M,Yes,Kendrick Lamar - Not Like Us
2024-07-12T01:55:00+0530,2024-07-12T02:05:00+0530,45.86M,No,Kendrick Lamar - Not Like Us
2024-07-12T02:00:00+0530,2024-07-12T03:00:00+0530,86.91M,No,MrBeast - I Built 100 Homes
2024-07-12T02:10:00+0530,2024-07-12T02:30:00+0530,45.87M,Yes,Kendrick Lamar - Not Like Us
2024-07-12T02:15:00+0530,2024-07-12T02:30:00+0530,45.90M,Yes,Kendrick Lamar - Not Like Us
2024-07-12T02:20:00+0530,2024-07-12T02:30:00+0530,45.93M,No,Kendrick Lamar - Not Like Us
2024-07-12T02:30:00+0530,2024-07-12T02:50:00+0530,46.00M,No,Kendrick Lamar - Not Like Us
2024-07-12T02:50:00+0530,2024-07-12T03:10:00+0530,46.03M,Yes,Kendrick Lamar - Not Like Us
2024-07-12T02:55:00+0530,2024-07-12T03:55:00+0530,86.95M,Yes,MrBeast - I Built 100 Homes
2024-07-12T03:05:00+0530,2024-07-12T03:25:00+0530,46.10M,No,Kendrick Lamar - Not Like Us
2024-07-12T03:25:00+0530,2024-07-12T03:45:00+0530,46.14M,Yes,Kendrick Lamar - Not Like Us
2024-07-12T03:30:00+0530,2024-07-12T03:55:00+0530,86.97M,Yes,MrBeast - I Built 100 Homes
2024-07-12T03:40:00+0530,2024-07-12T03:55:00+0530,87.00M,No,MrBeast - I Built 100 Homes
2024-07-12T03:50:00+0530,2024-07-12T04:10:00+0530,46.24M,No,Kendrick Lamar - Not Like Us
2024-07-12T03:55:00+0530,2024-07-12T04:55:00+0530,87.00M,Yes,MrBeast - I Built 100 Homes
2024-07-12T04:10:00+0530,2024-07-12T04:30:00+0530,46.20M,Yes,Kendrick Lamar - Not Like Us
2024-07-12T04:10:00+0530,2024-07-12T04:55:00+0530,87.04M,Yes,MrBeast - I Built 100 Homes
2024-07-12T04:10:00+0530,2024-07-12T04:30:00+0530,46.25M,Yes,Kendrick Lamar - Not Like Us
2024-07-12T04:30:00+0530,2024-07-12T04:50:00+0530,46.32M,Yes,Kendrick Lamar - Not Like Us
2024-07-12T04:35:00+0530,2024-07-12T04:55:00+0530,87.07M,No,MrBeast - I Built 100 Homes
2024-07-12T04:40:00+0530,2024-07-12T04:50:00+0530,46.36M,No,Kendrick Lamar - Not Like Us
2024-07-12T04:50:00+0530,2024-07-12T05:10:00+0530,46.41M,No,Kendrick Lamar - Not Like Us
2024-07-12T04:55:00+0530,2024-07-12T05:55:00+0530,87.07M,Yes,MrBeast - I Built 100 Homes
2024-07-12T05:00:00+0530,2024-07-12T05:55:00+0530,87.09M,Yes,MrBeast - I Built 100 Homes
2024-07-12T05:10:00+0530,2024-07-12T05:30:00+0530,46.41M,Yes,Kendrick Lamar - Not Like Us
2024-07-12T05:10:00+0530,2024-07-12T05:55:00+0530,87.16M,No,MrBeast - I Built 100 Homes
2024-07-12T05:15:00+0530,2024-07-12T05:30:00+0530,46.46M,No,Kendrick Lamar - Not Like Us
2024-07-12T05:25:00+0530,2024-07-12T05:45:00+0530,46.45M,Yes,Kendrick Lamar - Not Like Us
2024-07-12T05:35:00+0530,2024-07-12T05:45:00+0530,46.47M,Yes,Kendrick Lamar - Not Like Us
2024-07-12T05:50:00+0530,2024-07-12T06:10:00+0530,46.57M,No,Kendrick Lamar - Not Like Us
2024-07-12T06:05:00+0530,2024-07-12T06:25:00+0530,46.51M,Yes,Kendrick Lamar - Not Like Us
2024-07-12T06:10:00+0530,2024-07-12T06:25:00+0530,46.53M,Yes,Kendrick Lamar - Not Like Us
2024-07-12T06:15:00+0530,2024-07-12T06:25:00+0530,46.55M,Yes,Kendrick Lamar - Not Like Us
2024-07-12T06:30:00+0530,2024-07-12T06:50:00+0530,46.65M,No,Kendrick Lamar - Not Like Us
2024-07-12T06:50:00+0530,2024-07-12T07:10:00+0530,46.70M,No,Kendrick Lamar - Not Like Us
2024-07-12T06:55:00+0530,2024-07-12T07:55:00+0530,87.21M,Yes,MrBeast - I Built 100 Homes
2024-07-12T07:00:00+0530,2024-07-12T07:55:00+0530,87.25M,Yes,MrBeast - I Built 100 Homes
2024-07-12T07:10:00+0530,2024-07-12T07:30:00+0530,46.74M,No,Kendrick Lamar - Not Like Us
2024-07-12T07:40:00+0530,2024-07-12T07:55:00+0530,87.26M,Yes,MrBeast - I Built 100 Homes
2024-07-12T07:45:00+0530,2024-07-12T07:55:00+0530,87.28M,No,MrBeast - I Built 100 Homes
2024-07-12T07:50:00+0530,2024-07-12T08:10:00+0530,46.85M,No,Kendrick Lamar - Not Like Us
2024-07-12T07:55:00+0530,2024-07-12T08:55:00+0530,87.28M,Yes,MrBeast - I Built 100 Homes
2024-07-12T08:05:00+0530,2024-07-12T08:55:00+0530,87.35M,No,MrBeast - I Built 100 Homes
2024-07-12T08:10:00+0530,2024-07-12T08:30:00+0530,46.91M,No,Kendrick Lamar - Not Like Us
2024-07-12T08:25:00+0530,2024-07-12T08:45:00+0530,46.88M,Yes,Kendrick Lamar - Not Like Us
2024-07-12T08:35:00+0530,2024-07-12T08:45:00+0530,46.89M,Yes,Kendrick Lamar - Not Like Us
2024-07-12T08:40:00+0530,2024-07-12T09:00:00+0530,20.45M,Yes,Round2Hell - EPL Season 3
2024-07-12T08:40:00+0530,2024-07-12T09:00:00+0530,20.47M,No,Round2Hell - EPL Season 3
2024-07-12T08:45:00+0530,2024-07-12T09:00:00+0530,20.47M,No,Round2Hell - EPL Season 3
2024-07-12T08:45:00+0530,2024-07-12T09:05:00+0530,46.98M,No,Kendrick Lamar - Not Like Us
2024-07-12T09:00:00+0530,2024-07-12T10:00:00+0530,87.38M,Yes,MrBeast - I Built 100 Homes
2024-07-12T09:00:00+0530,2024-07-12T09:20:00+0530,20.47M,Yes,Round2Hell - EPL Season 3
2024-07-12T09:05:00+0530,2024-07-12T09:25:00+0530,20.47M,Yes,Round2Hell - EPL Season 3
2024-07-12T09:05:00+0530,2024-07-12T09:20:00+0530,20.48M,Yes,Round2Hell - EPL Season 3
2024-07-12T09:05:00+0530,2024-07-12T09:25:00+0530,20.48M,Yes,Round2Hell - EPL Season 3
2024-07-12T09:05:00+0530,2024-07-12T09:25:00+0530,47.01M,Yes,Kendrick Lamar - Not Like Us
2024-07-12T09:10:00+0530,2024-07-12T09:25:00+0530,20.50M,Yes,Round2Hell - EPL Season 3
2024-07-12T09:10:00+0530,2024-07-12T09:20:00+0530,20.49M,Yes,Round2Hell - EPL Season 3
2024-07-12T09:20:00+0530,2024-07-12T09:40:00+0530,20.52M,No,Round2Hell - EPL Season 3
2024-07-12T09:20:00+0530,2024-07-12T10:00:00+0530,87.45M,No,MrBeast - I Built 100 Homes
2024-07-12T09:20:00+0530,2024-07-12T09:40:00+0530,20.54M,No,Round2Hell - EPL Season 3
2024-07-12T09:25:00+0530,2024-07-12T09:45:00+0530,47.06M,No,Kendrick Lamar - Not Like Us
2024-07-12T09:40:00+0530,2024-07-12T10:00:00+0530,20.51M,Yes,Round2Hell - EPL Season 3
2024-07-12T09:40:00+0530,2024-07-12T10:00:00+0530,20.51M,Yes,Round2Hell - EPL Season 3
2024-07-12T09:40:00+0530,2024-07-12T10:00:00+0530,20.51M,Yes,Round2Hell - EPL Season 3
2024-07-12T09:45:00+0530,2024-07-12T10:00:00+0530,20.51M,Yes,Round2Hell - EPL Season 3
2024-07-12T09:45:00+0530,2024-07-12T10:00:00+0530,20.51M,Yes,Round2Hell - EPL Season 3
2024-07-12T09:45:00+0530,2024-07-12T10:00:00+0530,20.51M,Yes,Round2Hell - EPL Season 3
2024-07-12T09:45:00+0530,2024-07-12T10:00:00+0530,20.51M,Yes,Round2Hell - EPL Season 3
2024-07-12T09:45:00+0530,2024-07-12T10:00:00+0530,20.51M,Yes,Round2Hell - EPL Season 3
2024-07-12T09:45:00+0530,2024-07-12T10:00:00+0530,20.51M,Yes,Round2Hell - EPL Season 3
2024-07-12T09:45:00+0530,2024-07-12T10:00:00+0530,20.51M,Yes,Round2Hell - EPL Season 3
2024-07-12T09:45:00+0530,2024-07-12T10:00:00+0530,20.51M,Yes,Round2Hell - EPL Season 3
2024-07-12T09:50:00+0530,2024-07-12T10:10:00+0530,47.04M,Yes,Kendrick Lamar - Not Like Us
2024-07-12T09:50:00+0530,2024-07-12T10:00:00+0530,20.51M,Yes,Round2Hell - EPL Season 3
2024-07-12T09:50:00+0530,2024-07-12T10:00:00+0530,20.51M,Yes,Round2Hell - EPL Season 3
2024-07-12T09:50:00+0530,2024-07-12T10:00:00+0530,20.51M,Yes,Round2Hell - EPL Season 3
2024-07-12T09:50:00+0530,2024-07-12T10:00:00+0530,20.51M,Yes,Round2Hell - EPL Season 3
2024-07-12T09:50:00+0530,2024-07-12T10:00:00+0530,20.51M,Yes,Round2Hell - EPL Season 3
2024-07-12T09:50:00+0530,2024-07-12T10:10:00+0530,47.06M,Yes,Kendrick Lamar - Not Like Us
